image_file,Hand wash,Laundry,Dry clean,Air dry,Tumble dry,Flat dry
acrylic_hat_867.jpeg,1,0,0,1,0,1
acrylic_hat_1382.jpeg,1,0,0,1,0,1
acrylic_hat_164.jpeg,1,0,0,1,0,1
acrylic_hat_1228.jpeg,1,0,0,1,0,1
acrylic_hat_534.jpeg,1,0,0,1,0,1
acrylic_hat_471.jpeg,1,0,0,1,0,1
acrylic_hat_922.jpeg,1,0,0,1,0,1
acrylic_hat_888.jpeg,1,0,0,1,0,1
acrylic_hat_758.jpeg,1,0,0,1,0,1
acrylic_hat_1044.jpeg,1,0,0,1,0,1
acrylic_hat_308.jpeg,1,0,0,1,0,1
acrylic_hat_1414.jpeg,1,0,0,1,0,1
acrylic_hat_1101.jpeg,1,0,0,1,0,1
acrylic_hat_1551.jpeg,1,0,0,1,0,1
acrylic_hat_563.jpeg,1,0,0,1,0,1
acrylic_hat_133.jpeg,1,0,0,1,0,1
acrylic_hat_830.jpeg,1,0,0,1,0,1
acrylic_hat_975.jpeg,1,0,0,1,0,1
acrylic_hat_426.jpeg,1,0,0,1,0,1
acrylic_hat_1290.jpeg,1,0,0,1,0,1
acrylic_hat_1443.jpeg,1,0,0,1,0,1
acrylic_hat_1013.jpeg,1,0,0,1,0,1
acrylic_hat_1506.jpeg,1,0,0,1,0,1
acrylic_hat_1156.jpeg,1,0,0,1,0,1
acrylic_hat_826.jpeg,1,0,0,1,0,1
acrylic_hat_1639.jpeg,1,0,0,1,0,1
acrylic_hat_125.jpeg,1,0,0,1,0,1
acrylic_hat_1269.jpeg,1,0,0,1,0,1
acrylic_hat_575.jpeg,1,0,0,1,0,1
acrylic_hat_1286.jpeg,1,0,0,1,0,1
acrylic_hat_430.jpeg,1,0,0,1,0,1
acrylic_hat_963.jpeg,1,0,0,1,0,1
acrylic_hat_719.jpeg,1,0,0,1,0,1
acrylic_hat_1005.jpeg,1,0,0,1,0,1
acrylic_hat_349.jpeg,1,0,0,1,0,1
acrylic_hat_1455.jpeg,1,0,0,1,0,1
acrylic_hat_1140.jpeg,1,0,0,1,0,1
acrylic_hat_1510.jpeg,1,0,0,1,0,1
acrylic_hat_522.jpeg,1,0,0,1,0,1
acrylic_hat_172.jpeg,1,0,0,1,0,1
acrylic_hat_1394.jpeg,1,0,0,1,0,1
acrylic_hat_488.jpeg,1,0,0,1,0,1
acrylic_hat_871.jpeg,1,0,0,1,0,1
acrylic_hat_934.jpeg,1,0,0,1,0,1
acrylic_hat_467.jpeg,1,0,0,1,0,1
acrylic_hat_1402.jpeg,1,0,0,1,0,1
acrylic_hat_1052.jpeg,1,0,0,1,0,1
acrylic_hat_1547.jpeg,1,0,0,1,0,1
acrylic_hat_1117.jpeg,1,0,0,1,0,1
acrylic_hat_1300.jpeg,1,0,0,1,0,1
acrylic_hat_559.jpeg,1,0,0,1,0,1
acrylic_hat_1245.jpeg,1,0,0,1,0,1
acrylic_hat_109.jpeg,1,0,0,1,0,1
acrylic_hat_1615.jpeg,1,0,0,1,0,1
acrylic_hat_220.jpeg,1,0,0,1,0,1
acrylic_hat_670.jpeg,1,0,0,1,0,1
acrylic_hat_1496.jpeg,1,0,0,1,0,1
acrylic_hat_1479.jpeg,1,0,0,1,0,1
acrylic_hat_365.jpeg,1,0,0,1,0,1
acrylic_hat_21.jpeg,1,0,0,1,0,1
acrylic_hat_1183.jpeg,1,0,0,1,0,1
acrylic_hat_1029.jpeg,1,0,0,1,0,1
acrylic_hat_735.jpeg,1,0,0,1,0,1
acrylic_hat_1357.jpeg,1,0,0,1,0,1
acrylic_hat_918.jpeg,1,0,0,1,0,1
acrylic_hat_1642.jpeg,1,0,0,1,0,1
acrylic_hat_1212.jpeg,1,0,0,1,0,1
acrylic_hat_99.jpeg,1,0,0,1,0,1
acrylic_hat_627.jpeg,1,0,0,1,0,1
acrylic_hat_277.jpeg,1,0,0,1,0,1
acrylic_hat_1091.jpeg,1,0,0,1,0,1
acrylic_hat_762.jpeg,1,0,0,1,0,1
acrylic_hat_1584.jpeg,1,0,0,1,0,1
acrylic_hat_298.jpeg,1,0,0,1,0,1
